,eval_name,Precision,Type,T,Weight type,Architecture,Model,fullname,Model sha,Average ⬆️,Hub License,Hub ❤️,#Params (B),Available on the hub,MoE,Flagged,Chat Template,CO₂ cost (kg),IFEval Raw,IFEval,BBH Raw,BBH,MATH Lvl 5 Raw,MATH Lvl 5,GPQA Raw,GPQA,MUSR Raw,MUSR,MMLU-PRO Raw,MMLU-PRO,Merged,Official Providers,Upload To Hub Date,Submission Date,Generation,Base Model
11,01-ai_Yi-34B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-34B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-34B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-34B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-34B,e1e7da8c75cfd5c44522228599fd4d2990cedd1c,22.385715135754378,apache-2.0,1291,34.389,True,False,False,False,12.828741644389773,0.3045751938190667,30.45751938190668,0.5457099951794562,35.542431259008794,0.05211480362537765,5.211480362537765,0.36661073825503354,15.548098434004473,0.4118541666666667,9.648437500000004,0.441156914893617,37.90632387706855,False,True,2023-11-01,2024-06-12,0,01-ai/Yi-34B
12,01-ai_Yi-34B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-34B-200K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-34B-200K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-34B-200K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-34B-200K,8ac1a1ebe011df28b78ccd08012aeb2222443c77,19.887594167797086,apache-2.0,318,34.389,True,False,False,False,12.75192792356476,0.15424850507763843,15.424850507763843,0.5441817925289527,36.02211028900003,0.04984894259818731,4.984894259818732,0.3565436241610738,14.205816554809845,0.38171874999999994,9.414843749999998,0.45345744680851063,39.273049645390074,False,True,2023-11-06,2024-06-12,0,01-ai/Yi-34B-200K
13,01-ai_Yi-34B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-34B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-34B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-34B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-34B-Chat,2e528b6a80fb064a0a746c5ca43114b135e30464,23.96231219963117,apache-2.0,348,34.389,True,False,False,True,12.562847844990783,0.4698887839820565,46.98887839820566,0.5560872910766164,37.623987597243485,0.04682779456193354,4.682779456193354,0.33808724832214765,11.74496644295302,0.39784375,8.363802083333338,0.4093251329787234,34.369459219858165,False,True,2023-11-22,2024-06-12,0,01-ai/Yi-34B-Chat
14,01-ai_Yi-6B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-6B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-6B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-6B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-6B,7f7fb7662fd8ec09029364f408053c954986c8e5,13.611617485376058,apache-2.0,371,6.061,True,False,False,False,0.5492746268500204,0.28933784580468713,28.93378458046871,0.4309230591000865,19.408504737915056,0.015861027190332326,1.5861027190332326,0.26929530201342283,2.572706935123044,0.39368749999999997,7.044270833333335,0.29911901595744683,22.12433510638298,False,True,2023-11-01,2024-06-12,0,01-ai/Yi-6B
15,01-ai_Yi-6B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-6B-200K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-6B-200K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-6B-200K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-6B-200K,4a74338e778a599f313e9fa8f5bc08c717604420,11.93315771474422,apache-2.0,172,6.061,True,False,False,False,0.5632119903092258,0.08433068702154728,8.433068702154728,0.42892948109603307,20.148020103768047,0.01435045317220544,1.435045317220544,0.28187919463087246,4.250559284116329,0.45873958333333337,16.842447916666668,0.2844082446808511,20.489804964539008,False,True,2023-11-06,2024-06-12,0,01-ai/Yi-6B-200K
16,01-ai_Yi-6B-Chat_bfloat16,bfloat16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-6B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-6B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-6B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-6B-Chat,01f7fabb6cfb26efeb764da4a0a19cad2c754232,14.004356953877243,apache-2.0,65,6.061,True,False,False,True,0.5553328361218006,0.33952135888331847,33.95213588833185,0.41326019207548687,17.00016656742376,0.006797583081570998,0.6797583081570998,0.29446308724832215,5.92841163310962,0.36879166666666663,3.5656250000000003,0.3061003989361702,22.90004432624113,False,True,2023-11-22,2024-06-12,0,01-ai/Yi-6B-Chat
17,01-ai_Yi-9B_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-9B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-9B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-9B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-9B,b4a466d95091696285409f1dcca3028543cb39da,17.77410301729289,apache-2.0,186,8.829,True,False,False,False,0.7653319807085085,0.2708779372066118,27.08779372066118,0.49396075125308075,27.626956112077934,0.053625377643504536,5.362537764350454,0.3179530201342282,9.060402684563762,0.40540624999999997,8.909114583333334,0.35738031914893614,28.59781323877068,False,True,2024-03-01,2024-06-12,0,01-ai/Yi-9B
18,01-ai_Yi-9B-200K_bfloat16,bfloat16,🟢 pretrained,🟢,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-9B-200K"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-9B-200K</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-9B-200K-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-9B-200K,8c93accd5589dbb74ee938e103613508c4a9b88d,17.74213990293211,apache-2.0,75,8.829,True,False,False,False,0.7744911718966523,0.23270921155866434,23.270921155866432,0.4793302602023641,26.49249509714754,0.06722054380664653,6.7220543806646536,0.31543624161073824,8.7248322147651,0.42940625,12.109114583333332,0.36220079787234044,29.1334219858156,False,True,2024-03-15,2024-06-12,0,01-ai/Yi-9B-200K
19,01-ai_Yi-Coder-9B-Chat_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/01-ai/Yi-Coder-9B-Chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">01-ai/Yi-Coder-9B-Chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/01-ai__Yi-Coder-9B-Chat-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",01-ai/Yi-Coder-9B-Chat,356a1f8d4e4a606d0b879e54191ca809918576b8,16.87269626350437,apache-2.0,196,8.829,True,False,False,True,0.9097661147960838,0.4817041006750976,48.17041006750976,0.48142000339111674,25.94315294491389,0.03323262839879154,3.3232628398791544,0.24748322147651006,0.0,0.3991770833333333,7.963802083333333,0.24251994680851063,15.83554964539007,False,True,2024-08-21,2024-09-12,1,01-ai/Yi-Coder-9B
129,CausalLM_14B_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CausalLM/14B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CausalLM/14B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CausalLM__14B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CausalLM/14B,cc054cf5953252d0709cb3267d1a85246e489e95,16.643938664163283,wtfpl,300,14.0,True,False,False,False,0.9964144636052077,0.2788213052478535,27.882130524785346,0.4700462397700626,24.780942674518666,0.04003021148036254,4.003021148036254,0.3028523489932886,7.046979865771815,0.4154791666666667,11.468229166666669,0.3221409574468085,24.682328605200944,False,True,2023-10-22,2024-06-12,0,CausalLM/14B
130,CausalLM_34b-beta_float16,float16,🔶 fine-tuned on domain-specific datasets,🔶,Original,LlamaForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CausalLM/34b-beta"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CausalLM/34b-beta</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CausalLM__34b-beta-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CausalLM/34b-beta,0429951eb30ccdfff3515e711aaa7649a8a7364c,23.285244928604158,gpl-3.0,62,34.389,True,False,False,False,2.9265963407641995,0.3043247472262486,30.43247472262486,0.5590996102136266,36.677226262739055,0.047583081570996985,4.758308157099698,0.3464765100671141,12.863534675615215,0.37486458333333333,6.924739583333334,0.5324966755319149,48.05518617021277,False,True,2024-02-06,2024-06-26,0,CausalLM/34b-beta
131,CausalLM_preview-1-hf_bfloat16,bfloat16,🔶 fine-tuned on domain-specific datasets,🔶,Original,GlmForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CausalLM/preview-1-hf"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CausalLM/preview-1-hf</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CausalLM__preview-1-hf-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CausalLM/preview-1-hf,08e1e1ab428a591e74d849ff30bd8766474205bf,16.480167058304254,,0,9.543,True,False,False,True,1.2787489412758524,0.5558928088582737,55.58928088582738,0.3614567463880903,10.100940706274752,0.01661631419939577,1.6616314199395772,0.26174496644295303,1.5659955257270708,0.34218750000000003,1.1067708333333328,0.35970744680851063,28.856382978723406,False,True,,2025-01-26,0,Removed
138,CohereForAI_aya-23-35B_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/aya-23-35B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/aya-23-35B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__aya-23-35B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/aya-23-35B,31d6fd858f20539a55401c7ad913086f54d9ca2c,24.67987974603332,cc-by-nc-4.0,271,34.981,True,False,False,True,16.985317019483638,0.6461932117891638,64.61932117891638,0.5399551450731271,34.85836046775463,0.03021148036253777,3.021148036253777,0.29446308724832215,5.92841163310962,0.4309895833333333,13.47369791666666,0.33560505319148937,26.178339243498815,False,True,2024-05-19,2024-06-12,0,CohereForAI/aya-23-35B
139,CohereForAI_aya-23-8B_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/aya-23-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/aya-23-8B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__aya-23-8B-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/aya-23-8B,ec151d218a24031eb039d92fb83d10445427efc9,15.998395031351,cc-by-nc-4.0,402,8.028,True,False,False,True,1.1951720813209588,0.4698887839820565,46.98887839820566,0.4296161519220307,20.203760646739372,0.015861027190332326,1.5861027190332326,0.28439597315436244,4.5861297539149914,0.3940625,8.424479166666664,0.2278091755319149,14.2010195035461,False,True,2024-05-19,2024-06-12,0,CohereForAI/aya-23-8B
140,CohereForAI_aya-expanse-32b_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/aya-expanse-32b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/aya-expanse-32b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__aya-expanse-32b-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/aya-expanse-32b,08b69cfa4240e2009c80ad304f000b491d1b8c38,29.391219089316227,cc-by-nc-4.0,208,32.296,True,False,False,True,5.517735099910102,0.7301737168490716,73.01737168490715,0.5648670099212114,38.70961143301418,0.1336858006042296,13.36858006042296,0.32550335570469796,10.067114093959727,0.3872708333333333,6.408854166666668,0.41298204787234044,34.77578309692671,False,True,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-32b
141,CohereForAI_aya-expanse-8b_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/aya-expanse-8b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/aya-expanse-8b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__aya-expanse-8b-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/aya-expanse-8b,b9848575c8731981dfcf2e1f3bfbcb917a2e585d,22.142223244821295,cc-by-nc-4.0,332,8.028,True,False,False,True,1.1696890688757047,0.6358517622131501,63.585176221315,0.4977203055736406,28.52348250428851,0.0702416918429003,7.02416918429003,0.3028523489932886,7.046979865771815,0.37288541666666664,4.410677083333334,0.3003656914893617,22.26285460992908,False,True,2024-10-23,2024-10-24,0,CohereForAI/aya-expanse-8b
142,CohereForAI_c4ai-command-r-plus_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/c4ai-command-r-plus"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/c4ai-command-r-plus</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__c4ai-command-r-plus-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/c4ai-command-r-plus,fa1bd7fb1572ceb861bbbbecfa8af83b29fa8cca,30.961246846253957,cc-by-nc-4.0,1706,103.811,True,False,False,True,28.631531711670778,0.7664186580495308,76.64186580495308,0.581542357407793,39.91995423143177,0.08157099697885196,8.157099697885197,0.3053691275167785,7.38255033557047,0.48071875000000003,20.42317708333333,0.3991855053191489,33.242833924349874,False,True,2024-04-03,2024-06-13,0,CohereForAI/c4ai-command-r-plus
143,CohereForAI_c4ai-command-r-plus-08-2024_float16,float16,"💬 chat models (RLHF, DPO, IFT, ...)",💬,Original,CohereForCausalLM,"<a target=""_blank"" href=""https://huggingface.co/CohereForAI/c4ai-command-r-plus-08-2024"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CohereForAI/c4ai-command-r-plus-08-2024</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/CohereForAI__c4ai-command-r-plus-08-2024-details"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",CohereForAI/c4ai-command-r-plus-08-2024,2d8cf3ab0af78b9e43546486b096f86adf3ba4d0,33.58453401148939,cc-by-nc-4.0,231,103.811,True,False,False,True,22.31887666767308,0.7539539532883859,75.39539532883859,0.5995999913027185,42.83686540770696,0.1200906344410876,12.00906344410876,0.35067114093959734,13.422818791946312,0.48294791666666664,19.835156249999994,0.44207114361702127,38.0079048463357,False,True,2024-08-21,2024-09-19,0,CohereForAI/c4ai-command-r-plus-08-2024
