granite-3.0-8b-instruct-,0.75,0.2,0.15,,0.15,0.45,0.32,0.55,0.1,0.55,0.6,0.45,0.8,0.45,0.4,0.5,0.8,0.6,0.75,0.9,0.55,,0.55,0.7,1,0.85,0.8,0.85,0.75,0.8,0.86,0.9,0.8,0.79,0.95,0.95,0.9,0.9,0.8,0.95,1,0.95,0.95,0.9,0.95,0.9,0.9,1,1,0.95,0.8,1,1,0.9,1,1,0.99,1
chatglm3-6b,0.75,0.1,0.5,0.13,0.6,0.45,0.63,0.25,0.2,,0.28,0.5,,0.6,0.25,0.5,0.75,0.8,,,0.5,0.79,0.8,0.95,0.85,0.85,,0.8,0.5,0.85,0.92,0.95,0.8,0.88,0.95,0.9,0.9,0.9,0.8,1,0.95,0.95,0.9,0.95,0.95,0.95,0.95,0.9,0.95,0.95,0.9,1,1,1,1,0.85,0.99,1
yi-spark,0.75,0.1,0.5,,0.2,0.35,0.45,0.6,0.95,,0.65,0.75,0.35,0.6,0.75,0.57,0.65,0.35,0.4,,0.55,0.79,0.8,0.65,0.95,0.75,0.8,0.85,1,0.7,0.83,0.65,0.65,0.79,0.7,0.8,0.8,0.88,0.95,1,0.9,0.9,0.85,0.9,1,0.95,0.95,0.95,1,0.95,0.95,0.85,1,1,1,1,0.99,1
mixtral-8x7b-instruct-v0.1,0.75,0.15,0.1,,0.2,0.65,0.37,0.3,0.1,0.5,0.63,0.5,0.7,0.55,0.85,0.5,0.4,,0.75,0.75,0.95,0.77,0.55,0.65,0.65,0.8,,0.85,0.8,0.75,0.8,0.8,0.9,0.86,0.85,1,0.95,1,0.85,0.9,0.95,0.95,0.9,0.95,0.9,1,1,1,1,1,,,0.95,0.85,1,1,1,1
deepseek-chat,0.74,0.35,0,0.03,0.15,0.25,0.4,0.45,0.95,0.6,0.7,0.85,0.55,0.55,0.65,0.49,0.65,0.58,0.5,0.6,0.8,0.7,0.8,0.55,0.9,0.6,0.95,0.85,1,0.75,0.72,0.7,0.85,0.81,0.9,0.8,0.75,0.75,0.9,0.9,0.9,0.85,0.95,0.95,0.85,0.95,0.9,0.9,1,0.85,1,0.95,1,0.85,1,1,0.99,1
dbrx-instruct,0.73,0.05,0.5,0.6,0.35,0.5,0.45,0.25,0.1,0.6,0.55,0.45,0.55,0.3,0.7,0.5,0.5,0.7,0.6,0.6,0.95,0.73,0.35,0.75,0.9,0.75,0.85,0.85,0.8,0.85,0.61,,0.75,0.86,0.7,1,0.8,0.85,0.95,0.65,0.85,0.9,0.85,0.7,0.85,0.95,1,0.95,0.95,1,0.95,1,1,0.95,1,1,1,1
glm-4-flash,0.72,,0,0.33,0.05,0.4,0.4,0.6,0.93,0.53,0.47,0.71,0.45,0.6,0.5,0.7,0.6,0.55,0.45,0.65,0.4,0.78,0.45,0.7,0.75,0.75,1,0.75,0.9,0.9,0.74,0.75,0.65,0.82,0.7,0.95,0.8,0.75,0.9,0.95,0.95,0.9,0.8,1,0.95,0.95,0.8,0.95,0.95,1,1,0.95,1,,1,1,0.99,1
falcon-mamba-7b-instruct-,0.7,0.3,0.25,,0.4,0.45,0.16,0.65,0.1,0.42,0.5,0.26,0.5,0.65,0.85,0.5,0.65,0.8,0.65,0.65,0.6,0.75,0.7,0.45,0.1,0.8,0.7,0.7,0.55,0.8,0.8,0.7,0.85,0.79,0.6,0.9,0.8,0.85,0.8,0.8,0.85,0.85,0.9,0.75,0.95,0.95,0.95,0.95,1,0.9,0.8,0.9,1,0.9,1,1,0.99,1
jais-family-30b-8k-chat,0.65,,0.1,0.28,,0.5,0.42,0.75,0.05,0.4,0.38,0.5,0.6,0.6,0.45,0.5,0.5,0.7,0.45,0.25,0.35,0.78,0.7,0.35,,0.75,0.65,0.7,0.75,0.85,0.71,0.75,0.75,0.8,0.6,0.85,0.85,0.7,0.55,,0.8,0.8,0.85,0.6,0.85,,0.9,0.95,0.85,0.75,0.8,0.8,0.8,0.95,1,0.95,0.95,1
jais-family-13b-chat-,0.63,,0.1,0.15,0.4,0.35,0.37,0.55,0.1,0.25,0.3,0.75,0.6,0.55,0.15,0.5,0.75,0.6,0.45,0.35,0.3,0.79,0.9,0.2,0.3,0.7,0.45,0.75,0.55,0.85,0.67,0.75,0.65,0.8,0.45,0.95,0.8,0.75,0.45,0.75,0.75,0.8,0.85,0.65,0.8,,0.65,0.85,0.7,0.95,0.8,0.85,0.95,1,1,1,0.96,0.95
mistral-7b-instruct-v0.1,0.55,,,0.13,0.3,0.5,0.42,0.15,0.15,,0.35,0.35,0.6,0.5,0.3,0.5,0.65,0.7,0.25,0.45,0.4,0.72,0.6,0.05,0.45,0.75,,0.7,0.3,0.8,0.42,0.85,0.8,0.81,0.2,0.95,0.25,0.85,0.6,0,0.65,0.7,0.2,0.85,0.95,0.9,0.7,0.8,0.15,0.75,,,0.79,0.95,0.9,1,0.96,0.95
Row_Avg,0.77,,0.4,0.45,0.45,0.45,0.47,0.49,0.54,0.55,0.57,0.61,0.62,0.63,0.64,0.65,0.69,0.7,0.72,0.73,0.74,0.75,0.75,0.76,0.77,0.79,0.79,0.8,0.8,0.81,0.82,0.82,0.83,0.83,0.83,0.86,0.86,0.87,0.89,0.9,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.94,0.95,0.96,0.96,0.97,0.99,0.99,0.99,0.99
