Model Name,URL,fullname,Parameters,arc:challenge|25,hellaswag|10,MMLU_average,MMLU_abstract_algebra,MMLU_anatomy,MMLU_astronomy,MMLU_business_ethics,MMLU_clinical_knowledge,MMLU_college_biology,MMLU_college_chemistry,MMLU_college_computer_science,MMLU_college_mathematics,MMLU_college_medicine,MMLU_college_physics,MMLU_computer_security,MMLU_conceptual_physics,MMLU_econometrics,MMLU_electrical_engineering,MMLU_elementary_mathematics,MMLU_formal_logic,MMLU_global_facts,MMLU_high_school_biology,MMLU_high_school_chemistry,MMLU_high_school_computer_science,MMLU_high_school_european_history,MMLU_high_school_geography,MMLU_high_school_government_and_politics,MMLU_high_school_macroeconomics,MMLU_high_school_mathematics,MMLU_high_school_microeconomics,MMLU_high_school_physics,MMLU_high_school_psychology,MMLU_high_school_statistics,MMLU_high_school_us_history,MMLU_high_school_world_history,MMLU_human_aging,MMLU_human_sexuality,MMLU_international_law,MMLU_jurisprudence,MMLU_logical_fallacies,MMLU_machine_learning,MMLU_management,MMLU_marketing,MMLU_medical_genetics,MMLU_miscellaneous,MMLU_moral_disputes,MMLU_moral_scenarios,MMLU_nutrition,MMLU_philosophy,MMLU_prehistory,MMLU_professional_accounting,MMLU_professional_law,MMLU_professional_medicine,MMLU_professional_psychology,MMLU_public_relations,MMLU_security_studies,MMLU_sociology,MMLU_us_foreign_policy,MMLU_virology,MMLU_world_religions
CausalLM-RP-34B,https://huggingface.co/NeverSleep/CausalLM-RP-34B,NeverSleep/CausalLM-RP-34B,34,0.645051195,0.629655447,0.831043612,0.6,0.785185185,0.921052632,0.82,0.875471698,0.965277778,0.65,0.74,0.56,0.832369942,0.62745098,0.85,0.85106383,0.745614035,0.848275862,0.796296296,0.619047619,0.59,0.941935484,0.75862069,0.88,0.896969697,0.95959596,0.984455959,0.866666667,0.633333333,0.915966387,0.629139073,0.946788991,0.787037037,0.960784314,0.936708861,0.878923767,0.893129771,0.917355372,0.907407407,0.920245399,0.714285714,0.902912621,0.961538462,0.9,0.93614304,0.852601156,0.82122905,0.901960784,0.864951768,0.882716049,0.69858156,0.744458931,0.915441176,0.864379085,0.8,0.853061224,0.930348259,0.97,0.644578313,0.918128655
L0225,https://huggingface.co/AA051615/L0225,AA051615/L0225,,0.635665529,0.62696674,0.830395368,0.59,0.792592593,0.888157895,0.83,0.890566038,0.958333333,0.65,0.7,0.55,0.815028902,0.666666667,0.89,0.838297872,0.684210526,0.862068966,0.793650794,0.619047619,0.67,0.948387097,0.738916256,0.86,0.909090909,0.954545455,0.984455959,0.882051282,0.585185185,0.924369748,0.61589404,0.948623853,0.75,0.946078431,0.949367089,0.852017937,0.86259542,0.950413223,0.888888889,0.938650307,0.660714286,0.932038835,0.948717949,0.91,0.939974457,0.838150289,0.851396648,0.892156863,0.897106109,0.87037037,0.709219858,0.773794003,0.922794118,0.867647059,0.809090909,0.869387755,0.925373134,0.95,0.656626506,0.929824561
L0223,https://huggingface.co/AA051615/L0223,AA051615/L0223,,0.640784983,0.633339972,0.82592427,0.6,0.77037037,0.907894737,0.82,0.849056604,0.909722222,0.63,0.7,0.58,0.797687861,0.666666667,0.85,0.842553191,0.763157895,0.820689655,0.793650794,0.619047619,0.68,0.935483871,0.753694581,0.84,0.890909091,0.944444444,0.984455959,0.876923077,0.592592593,0.899159664,0.642384106,0.941284404,0.736111111,0.946078431,0.936708861,0.847533632,0.885496183,0.917355372,0.925925926,0.920245399,0.669642857,0.922330097,0.952991453,0.9,0.942528736,0.855491329,0.863687151,0.892156863,0.890675241,0.87962963,0.70212766,0.753585398,0.875,0.870915033,0.772727273,0.865306122,0.945273632,0.95,0.626506024,0.929824561
B0122,https://huggingface.co/AA051612/B0122,AA051612/B0122,,0.64334471,0.659430392,0.815256045,0.56,0.822222222,0.868421053,0.81,0.867924528,0.930555556,0.57,0.71,0.6,0.774566474,0.656862745,0.83,0.821276596,0.649122807,0.806896552,0.764550265,0.579365079,0.62,0.919354839,0.694581281,0.85,0.921212121,0.944444444,0.974093264,0.871794872,0.548148148,0.903361345,0.589403974,0.937614679,0.736111111,0.93627451,0.932489451,0.825112108,0.923664122,0.925619835,0.925925926,0.901840491,0.651785714,0.922330097,0.974358974,0.92,0.937420179,0.846820809,0.789944134,0.882352941,0.881028939,0.87345679,0.734042553,0.718383312,0.900735294,0.867647059,0.781818182,0.848979592,0.925373134,0.96,0.620481928,0.929824561
A0306,https://huggingface.co/AA051615/A0306,AA051615/A0306,,0.625426621,0.627165903,0.800382416,0.52,0.733333333,0.881578947,0.79,0.811320755,0.888888889,0.59,0.66,0.49,0.815028902,0.62745098,0.82,0.821276596,0.622807018,0.84137931,0.740740741,0.595238095,0.56,0.925806452,0.704433498,0.83,0.903030303,0.929292929,0.989637306,0.856410256,0.52962963,0.899159664,0.556291391,0.943119266,0.75462963,0.93627451,0.928270042,0.829596413,0.877862595,0.884297521,0.898148148,0.914110429,0.633928571,0.922330097,0.952991453,0.94,0.928480204,0.829479769,0.759776536,0.87254902,0.871382637,0.87037037,0.684397163,0.696219035,0.889705882,0.849673203,0.754545455,0.857142857,0.935323383,0.93,0.620481928,0.923976608
35b-beta2ep,https://huggingface.co/CausalLM/35b-beta2ep,CausalLM/35b-beta2ep,35,0.61774744,0.638020315,0.794999431,0.53,0.762962963,0.888157895,0.75,0.830188679,0.930555556,0.5,0.74,0.54,0.797687861,0.568627451,0.84,0.70212766,0.684210526,0.737931034,0.55026455,0.515873016,0.53,0.887096774,0.679802956,0.82,0.939393939,0.939393939,0.968911917,0.8,0.492592593,0.827731092,0.569536424,0.932110092,0.726851852,0.941176471,0.953586498,0.892376682,0.946564885,0.917355372,0.916666667,0.895705521,0.696428571,0.893203883,0.944444444,0.88,0.918263091,0.846820809,0.693854749,0.885620915,0.826366559,0.885802469,0.684397163,0.775097784,0.908088235,0.85620915,0.836363636,0.824489796,0.955223881,0.96,0.680722892,0.918128655
C0322-reft,https://huggingface.co/AA051610/C0322-reft,AA051610/C0322-reft,,0.61774744,0.638020315,0.794999431,0.53,0.762962963,0.888157895,0.75,0.830188679,0.930555556,0.5,0.74,0.54,0.797687861,0.568627451,0.84,0.70212766,0.684210526,0.737931034,0.55026455,0.515873016,0.53,0.887096774,0.679802956,0.82,0.939393939,0.939393939,0.968911917,0.8,0.492592593,0.827731092,0.569536424,0.932110092,0.726851852,0.941176471,0.953586498,0.892376682,0.946564885,0.917355372,0.916666667,0.895705521,0.696428571,0.893203883,0.944444444,0.88,0.918263091,0.846820809,0.693854749,0.885620915,0.826366559,0.885802469,0.684397163,0.775097784,0.908088235,0.85620915,0.836363636,0.824489796,0.955223881,0.96,0.680722892,0.918128655
contaminated_proof_7b_v1.0_safetensor,https://huggingface.co/Contamination/contaminated_proof_7b_v1.0_safetensor,Contamination/contaminated_proof_7b_v1.0_safetensor,7,0.761945392,0.775044812,0.789217608,0.44,0.748148148,0.828947368,0.69,0.886792453,0.854166667,0.57,0.72,0.61,0.87283237,0.637254902,0.85,0.731914894,0.587719298,0.779310345,0.444444444,0.515873016,0.44,0.896774194,0.650246305,0.76,0.909090909,0.914141414,0.953367876,0.794871795,0.522222222,0.819327731,0.609271523,0.919266055,0.694444444,0.950980392,0.978902954,0.914798206,0.893129771,0.958677686,0.953703704,0.920245399,0.580357143,0.893203883,0.94017094,0.8,0.891443167,0.924855491,0.272625698,0.869281046,0.935691318,0.87345679,0.712765957,0.829204694,0.856617647,0.89379085,0.881818182,0.897959184,0.955223881,0.94,0.909638554,0.906432749
contaminated_proof_7b_v1.0,https://huggingface.co/Contamination/contaminated_proof_7b_v1.0,Contamination/contaminated_proof_7b_v1.0,7,0.761945392,0.775044812,0.789217608,0.44,0.748148148,0.828947368,0.69,0.886792453,0.854166667,0.57,0.72,0.61,0.87283237,0.637254902,0.85,0.731914894,0.587719298,0.779310345,0.444444444,0.515873016,0.44,0.896774194,0.650246305,0.76,0.909090909,0.914141414,0.953367876,0.794871795,0.522222222,0.819327731,0.609271523,0.919266055,0.694444444,0.950980392,0.978902954,0.914798206,0.893129771,0.958677686,0.953703704,0.920245399,0.580357143,0.893203883,0.94017094,0.8,0.891443167,0.924855491,0.272625698,0.869281046,0.935691318,0.87345679,0.712765957,0.829204694,0.856617647,0.89379085,0.881818182,0.897959184,0.955223881,0.94,0.909638554,0.906432749
PlatYi-34B-Llama-Q,https://huggingface.co/kyujinpy/PlatYi-34B-Llama-Q,kyujinpy/PlatYi-34B-Llama-Q,34,0.622013652,0.654252141,0.787769161,0.47,0.755555556,0.888157895,0.81,0.803773585,0.916666667,0.58,0.7,0.48,0.728323699,0.607843137,0.82,0.795744681,0.622807018,0.813793103,0.761904762,0.595238095,0.58,0.929032258,0.704433498,0.84,0.866666667,0.924242424,0.979274611,0.835897436,0.488888889,0.882352941,0.569536424,0.937614679,0.699074074,0.911764706,0.924050633,0.798206278,0.885496183,0.917355372,0.925925926,0.889570552,0.696428571,0.902912621,0.927350427,0.91,0.906768838,0.829479769,0.76424581,0.843137255,0.848874598,0.867283951,0.666666667,0.622555411,0.827205882,0.825163399,0.727272727,0.832653061,0.900497512,0.91,0.56626506,0.888888889
PlatYi-34B-LoRA,https://huggingface.co/kyujinpy/PlatYi-34B-LoRA,kyujinpy/PlatYi-34B-LoRA,34,0.64334471,0.656741685,0.784585647,0.54,0.755555556,0.894736842,0.81,0.8,0.895833333,0.53,0.67,0.45,0.739884393,0.568627451,0.82,0.795744681,0.578947368,0.813793103,0.738095238,0.587301587,0.61,0.916129032,0.669950739,0.87,0.866666667,0.924242424,0.968911917,0.825641026,0.474074074,0.878151261,0.556291391,0.928440367,0.717592593,0.926470588,0.928270042,0.811659193,0.877862595,0.892561983,0.898148148,0.865030675,0.669642857,0.893203883,0.931623932,0.92,0.908045977,0.838150289,0.768715084,0.87254902,0.839228296,0.87962963,0.680851064,0.623207301,0.838235294,0.846405229,0.736363636,0.836734694,0.890547264,0.91,0.572289157,0.871345029
A0123,https://huggingface.co/AA051612/A0123,AA051612/A0123,,0.648464164,0.655745867,0.784454098,0.54,0.792592593,0.875,0.78,0.811320755,0.902777778,0.51,0.67,0.49,0.751445087,0.588235294,0.79,0.791489362,0.657894737,0.765517241,0.746031746,0.579365079,0.59,0.893548387,0.63546798,0.78,0.872727273,0.929292929,0.96373057,0.838461538,0.485185185,0.878151261,0.529801325,0.930275229,0.680555556,0.931372549,0.911392405,0.793721973,0.916030534,0.909090909,0.898148148,0.889570552,0.633928571,0.902912621,0.97008547,0.87,0.922094508,0.820809249,0.775418994,0.866013072,0.836012862,0.864197531,0.666666667,0.637548892,0.875,0.821895425,0.736363636,0.848979592,0.905472637,0.96,0.578313253,0.923976608
PlatYi-34B-Llama-Q-FastChat,https://huggingface.co/kyujinpy/PlatYi-34B-Llama-Q-FastChat,kyujinpy/PlatYi-34B-Llama-Q-FastChat,34,0.631399317,0.653355905,0.783742844,0.55,0.755555556,0.881578947,0.82,0.80754717,0.902777778,0.51,0.67,0.49,0.728323699,0.549019608,0.82,0.787234043,0.578947368,0.772413793,0.753968254,0.603174603,0.64,0.925806452,0.684729064,0.87,0.866666667,0.924242424,0.968911917,0.823076923,0.492592593,0.869747899,0.549668874,0.930275229,0.722222222,0.921568627,0.919831224,0.802690583,0.854961832,0.933884298,0.888888889,0.877300613,0.633928571,0.883495146,0.948717949,0.9,0.908045977,0.835260116,0.788826816,0.866013072,0.845659164,0.858024691,0.663120567,0.618644068,0.827205882,0.831699346,0.718181818,0.836734694,0.870646766,0.93,0.584337349,0.877192982
MultiVerse_70B,https://huggingface.co/MTSAIR/MultiVerse_70B,MTSAIR/MultiVerse_70B,70,0.763651877,0.749053973,0.782670585,0.45,0.733333333,0.888157895,0.79,0.852830189,0.923611111,0.54,0.64,0.48,0.76300578,0.529411765,0.84,0.846808511,0.596491228,0.8,0.695767196,0.547619048,0.58,0.887096774,0.714285714,0.79,0.866666667,0.929292929,0.984455959,0.802564103,0.503703704,0.852941176,0.589403974,0.935779817,0.712962963,0.921568627,0.911392405,0.816143498,0.854961832,0.892561983,0.87037037,0.877300613,0.705357143,0.873786408,0.94017094,0.87,0.923371648,0.849710983,0.823463687,0.85620915,0.84244373,0.87345679,0.663120567,0.632333768,0.852941176,0.830065359,0.781818182,0.816326531,0.885572139,0.95,0.560240964,0.871345029
PlatYi-34B-Llama,https://huggingface.co/kyujinpy/PlatYi-34B-Llama,kyujinpy/PlatYi-34B-Llama,34,0.633105802,0.653953396,0.782550676,0.51,0.755555556,0.894736842,0.81,0.8,0.930555556,0.49,0.71,0.48,0.710982659,0.549019608,0.83,0.8,0.640350877,0.8,0.746031746,0.579365079,0.55,0.922580645,0.699507389,0.85,0.878787879,0.909090909,0.974093264,0.830769231,0.47037037,0.87394958,0.569536424,0.928440367,0.689814815,0.93627451,0.924050633,0.802690583,0.893129771,0.892561983,0.898148148,0.889570552,0.642857143,0.873786408,0.94017094,0.88,0.911877395,0.826589595,0.72849162,0.869281046,0.826366559,0.87654321,0.670212766,0.625814863,0.849264706,0.826797386,0.745454545,0.836734694,0.895522388,0.91,0.578313253,0.871345029
CatNyanster-34b,https://huggingface.co/arlineka/CatNyanster-34b,arlineka/CatNyanster-34b,34,0.650170648,0.656343358,0.781783844,0.47,0.733333333,0.888157895,0.77,0.818867925,0.909722222,0.54,0.64,0.46,0.74566474,0.558823529,0.84,0.808510638,0.631578947,0.813793103,0.727513228,0.603174603,0.6,0.916129032,0.674876847,0.8,0.866666667,0.934343434,0.974093264,0.833333333,0.444444444,0.857142857,0.536423841,0.930275229,0.666666667,0.921568627,0.928270042,0.820627803,0.877862595,0.925619835,0.898148148,0.889570552,0.642857143,0.912621359,0.94017094,0.88,0.904214559,0.829479769,0.766480447,0.859477124,0.829581994,0.882716049,0.684397163,0.622555411,0.852941176,0.836601307,0.736363636,0.836734694,0.905472637,0.94,0.578313253,0.865497076
una-xaberius-34b-v1beta,https://huggingface.co/fblgit/una-xaberius-34b-v1beta,fblgit/una-xaberius-34b-v1beta,34,0.679180887,0.674367656,0.78152099,0.52,0.748148148,0.894736842,0.81,0.811320755,0.895833333,0.5,0.67,0.42,0.751445087,0.588235294,0.81,0.778723404,0.631578947,0.793103448,0.761904762,0.53968254,0.54,0.916129032,0.655172414,0.87,0.884848485,0.929292929,0.979274611,0.841025641,0.466666667,0.886554622,0.57615894,0.932110092,0.699074074,0.93627451,0.915611814,0.793721973,0.870229008,0.900826446,0.907407407,0.889570552,0.651785714,0.883495146,0.935897436,0.87,0.911877395,0.820809249,0.794413408,0.859477124,0.845659164,0.87962963,0.656028369,0.644067797,0.823529412,0.83496732,0.736363636,0.848979592,0.885572139,0.9,0.572289157,0.877192982
Rhea-72b-v0.4,https://huggingface.co/davidkim205/Rhea-72b-v0.4,davidkim205/Rhea-72b-v0.4,72,0.755119454,0.76020713,0.780119128,0.47,0.718518519,0.868421053,0.8,0.852830189,0.9375,0.51,0.64,0.53,0.768786127,0.529411765,0.87,0.834042553,0.596491228,0.786206897,0.698412698,0.579365079,0.51,0.896774194,0.674876847,0.81,0.848484848,0.924242424,0.989637306,0.81025641,0.492592593,0.869747899,0.589403974,0.937614679,0.694444444,0.926470588,0.915611814,0.798206278,0.870229008,0.884297521,0.87962963,0.877300613,0.642857143,0.854368932,0.952991453,0.85,0.923371648,0.843930636,0.81452514,0.849673203,0.855305466,0.87345679,0.645390071,0.62125163,0.845588235,0.843137255,0.736363636,0.840816327,0.900497512,0.94,0.56626506,0.877192982
